id,companyName,symbol,securityName,status,companyEmail,website,sectorName,regulatoryBody,instrumentType
131,Nabil Bank Limited,NABIL,Nabil Bank Limited,A,company.affairs@nabilbank.com,www.nabilbank.com,Commercial Banks,Nepal Rastra Bank,Equity
132,Nepal Investment Mega Bank Limited,NIMB,Nepal Investment Mega Bank Limited,A,NIBL.Nepse@nibl.com.np,http://www.nibl.com.np,Commercial Banks,Nepal Rastra Bank,Equity
133,Standard Chartered Bank  Nepal Limited,SCB,Standard Chartered Bank Limited,A,Legal.Nepal@sc.com,www.sc.com/np,Commercial Banks,Nepal Rastra Bank,Equity
134,Himalayan Bank Limited,HBL,Himalayan Bank Limited,A,legal@himalayanbank.com,https://www.himalayanbank.com,Commercial Banks,Nepal Rastra Bank,Equity
135,Nepal SBI Bank Limited,SBI,Nepal SBI Bank Limited,A,cs@nsbl.com.np,https://nsbl.statebank,Commercial Banks,Nepal Rastra Bank,Equity
136,Nepal Bangladesh Bank Limited,NBB,Nepal Bangladesh Bank Limited,D,bishwapoudel@nbbl.com.np,,Commercial Banks,Nepal Rastra Bank,Equity
137,Everest Bank Limited,EBL,Everest Bank Limited,A,sharedept@ebl.com.np,www.everestbankltd.com,Commercial Banks,Nepal Rastra Bank,Equity
138,Bank of Kathmandu Ltd.,BOKL,Bank of Kathmandu Ltd.,D,deepak.gautam@bok.com.np,,Commercial Banks,Nepal Rastra Bank,Equity
139,NIC Asia Bank Ltd.,NICA,NIC Asia Bank Ltd.,A,nica.nots@nicasiabank.com,,Commercial Banks,Nepal Rastra Bank,Equity
140,Machhapuchhre Bank Limited,MBL,Machhapuchhre Bank Limited,A,machbank@mbl.com.np,http://www.machbank.com,Commercial Banks,Nepal Rastra Bank,Equity
141,Laxmi Sunrise Bank Limited,LSL,Laxmi Sunrise Bank Limited,A,piyush.aryal@laxmibank.com,,Commercial Banks,Nepal Rastra Bank,Equity
142,Kumari Bank Limited,KBL,Kumari Bank Limited,A,info@kumaribank.com,http://www.kumaribank.com,Commercial Banks,Nepal Rastra Bank,Equity
143,Lumbini Bank Limited,LUBL,Lumbini Bank Limited,D,info@lumbinibank.com.np,,Commercial Banks,Nepal Rastra Bank,Equity
144,Nepal Credit And Commercial Bank Limited,NCCB,Nepal Credit And Commercial Bank Limited,D,corporate@nccbank.com.np,http://www.nccbank.com.np,Commercial Banks,Nepal Rastra Bank,Equity
145,Siddhartha Bank Limited,SBL,Siddhartha Bank Limited,A,laxman.ghimire@sbl.com.np,,Commercial Banks,Nepal Rastra Bank,Equity
146,Yak And Yeti Hotel Limited,YHL,Yak And Yeti Hotel Limited,S,yhl@yhl.com,,Hotels And Tourism,Ministry of Tourism,Equity
147,Soaltee Hotel Limited,SHL,Soaltee Hotel Limited,A,lbkhatri@soaltee.com.np,http://www.soalteehotel.com,Hotels And Tourism,Ministry of Tourism,Equity
148,Taragaon Regency Hotel Limited,TRH,Taragaon Regency Hotel Limited,A,info@taragaon.com,,Hotels And Tourism,Ministry of Tourism,Equity
