SN,Name,Description,Published Date,File Link
1,Annual Report 2080/81,Annual Report 2080/81,2024-07-18,https://www.nepalstock.com/api/web/report/download-report/eee7edbe758de7ea79282a075547522b.xlsx
2,Annual Report 2079/80,Annual Report 2079/80,2023-08-13,https://www.nepalstock.com/api/web/report/download-report/4d30e1c7074527f68ada077c0163e285.xlsx
3,Annual Report 2078/79,Annual Report 2078/79,2022-08-15,https://www.nepalstock.com/api/web/report/download-report/8e2b5ad8227ed932938fe71224db47ee.rar
4,Annual report 2077/78,Annual report 2077/78,2021-08-10,https://www.nepalstock.com/api/web/report/download-report/6378c9510873cc854560f37946dd3355.xlsx
5,Annual Report 2076-77,Annual Report 2076-77,2021-07-19,https://www.nepalstock.com/api/web/report/download-report/2864aa6fa5cae537096926de42e12034.rar
6,Annual Report 2075-76,Annual Report 2075-76,2021-07-19,https://www.nepalstock.com/api/web/report/download-report/b2711927bc37bde62d4958e916c0d57b.rar
7,Annual Report 2074-75,Annual Report 2074-75,2021-07-19,https://www.nepalstock.com/api/web/report/download-report/59e539e513caf736e03c8f1362ecb743.rar
8,Annual Report 2073-74,Annual Report 2073-74,2021-07-19,https://www.nepalstock.com/api/web/report/download-report/f0f0990b973de5b6954538a6ff779ae2.rar
9,Annual Report 2072-73,Annual Report 2072-73,2021-07-19,https://www.nepalstock.com/api/web/report/download-report/f40d83fcecce3dc60a64ff441354436a.rar
10,Annual Report 2071-72,Annual Report 2071-72,2021-07-18,https://www.nepalstock.com/api/web/report/download-report/a4a5c74d9d61fe87926d58d01606eb39.pdf
11,Annual Report 2070-71,Annual Report 2070-71,2021-07-18,https://www.nepalstock.com/api/web/report/download-report/f81432278472347a059630cff9914e06.pdf
12,Annual Report 2069-70,Annual Report 2069-70,2021-07-18,https://www.nepalstock.com/api/web/report/download-report/f2e969fcf1db53db51077fd569d863bc.pdf
13,Annual Report 2068-69,Annual Report 2068-69,2021-07-18,https://www.nepalstock.com/api/web/report/download-report/433fa41edee58a6e3f023a88df356a37.XLS
14,Annual Report 2067-68,Annual Report 2067-68,2021-07-18,https://www.nepalstock.com/api/web/report/download-report/c4fb5bed269437e0353c8d44d1cf5fef.xls
15,Annual Report 2066-67,Annual Report 2066-67,2021-07-18,https://www.nepalstock.com/api/web/report/download-report/6c16f5f07d434e5c576f940765c87046.XLS
16,Annual Report 2065-66,Annual Report 2065-66,2021-07-18,https://www.nepalstock.com/api/web/report/download-report/0f14cfff60473e3fcf5ce4b4b4d72e67.XLS
17,Annual Report 2064-65,Annual Report 2064-65,2021-07-18,https://www.nepalstock.com/api/web/report/download-report/7c0a1fe5ea3a1de209669e6ef986c872.pdf
18,Annual Report 2063-64,Annual Report 2063-64,2021-07-18,https://www.nepalstock.com/api/web/report/download-report/9c1aaa5ae611fefe03ef98871be834f9.xlsx
19,Annual Report 2062-63,Annual Report 2062-63,2021-07-18,https://www.nepalstock.com/api/web/report/download-report/44fbffde4b7184f847e1467f4468f586.xlsx
20,Annual Report 2061-62,Annual Report 2061-62,2021-07-18,https://www.nepalstock.com/api/web/report/download-report/75ddf6aea3679a4ef93b130b73ab2605.xlsx
21,Annual Report 2060-61,Annual Report 2060-61,2021-07-18,https://www.nepalstock.com/api/web/report/download-report/c8d9aac94ce4fc84c8f209d3141dae31.xlsx
22,Trades(2063/64),Trades(2063/64),2021-07-18,https://www.nepalstock.com/api/web/report/download-report/9d15a464be98d8b15e6b03e09a180621.pdf
23,Macro Economic Situation(2063/64),Macro Economic Situation(2063/64),2021-07-18,https://www.nepalstock.com/api/web/report/download-report/ac82a09d52d80f839540e86c2930bf60.pdf
24,Corporate Actions and Decisions of the Listed Companies (2063/64),Corporate Actions and Decisions of the Listed Companies (2063/64),2021-07-18,https://www.nepalstock.com/api/web/report/download-report/4d709105302d721feeecebda34f48c62.pdf
