securityId,securityName,symbol,indexId,openPrice,highPrice,lowPrice,totalTradeQuantity,totalTradeValue,lastTradedPrice,percentageChange,lastUpdatedDateTime,lastTradedVolume,previousClose,averageTradedPrice
8031,Madhya Bhotekoshi Jalavidyut Company Limited,MBJC,58,321.4,325.0,321.4,50,16174.0,324.0,-0.31,2024-09-25 11:10:29.816533,10,325.0,323.48
2880,Himal Dolakha Hydropower Company Limited,HDHPC,58,194.0,196.0,194.0,9023,1762092.8,196.0,1.4,2024-09-25 11:10:29.134104,20,193.3,195.29
2842,SANJEN JALAVIDHYUT COMPANY LIMITED,SJCL,58,314.0,314.0,306.6,527,161724.2,306.6,-0.68,2024-09-25 11:10:28.742091,57,308.7,306.88
516,Manjushree Finance Ltd.,MFIL,58,615.0,620.0,614.0,1341,824130.0,620.0,0.32,2024-09-25 11:10:28.504401,10,618.0,614.56
2809,SHIVAM CEMENTS LTD,SHIVM,58,530.0,535.0,528.0,3055,1617107.1,532.0,0.32,2024-09-25 11:10:27.499431,400,530.3,529.33
141,Laxmi Sunrise Bank Limited,LSL,58,236.0,236.0,231.3,2140,499597.0,235.0,1.29,2024-09-25 11:10:27.440348,140,232.0,233.46
8022,Terhathum Power Company Limited,TPC,58,413.0,421.2,413.0,620,261062.0,421.2,1.99,2024-09-25 11:10:26.50333,100,413.0,421.07
397,Agricultural Development Bank Limited,ADBL,58,351.0,353.0,349.2,1860,653505.0,353.0,0.51,2024-09-25 11:10:26.373093,50,351.2,351.35
393,Himalayan Life Insurance Limited,HLI,58,448.0,448.1,446.0,1115,498391.0,447.0,-0.2,2024-09-25 11:10:26.058446,50,447.9,446.99
2757,Arun Kabeli Power Ltd.,AKPL,58,220.0,224.4,220.0,8747,1943372.0,224.4,2.42,2024-09-25 11:10:26.0327,500,219.1,222.18
2742,Hydorelectricity Investment and Development Company Ltd,HIDCL,58,253.0,255.0,252.0,3572,904476.4,254.0,2.01,2024-09-25 11:10:25.434679,100,249.0,253.21
232,Goodwill Finance Limited,GFCL,58,761.0,770.0,750.0,549,418640.0,770.0,1.18,2024-09-25 11:10:24.950362,10,761.0,762.55
9150,Asian Hydropower Limited,AHL,58,639.5,639.5,616.0,30,18825.0,616.0,-1.75,2024-09-25 11:10:24.94756,10,627.0,627.5
2924,GreenLife Hydropower Limited,GLH,58,231.0,231.0,229.0,617,142069.5,230.1,0.48,2024-09-25 11:10:24.423813,10,229.0,230.26
9194,Three Star Hydropower Limited,TSHL,58,775.0,785.4,775.0,250,195910.0,785.4,2.0,2024-09-25 11:10:22.574501,10,770.0,783.64
164,Chhimek Laghubitta Bittiya Sanstha Limited,CBBL,58,920.0,920.0,919.0,120,110360.0,919.0,0.88,2024-09-25 11:10:21.095959,10,911.0,919.67
2881,Nepal Reinsurance Company Limited,NRIC,58,744.0,800.0,744.0,2227,1714303.4,784.0,5.25,2024-09-25 11:10:20.699078,84,744.9,769.78
9225,Vision Lumbini Urja Company Limited ,VLUCL,58,632.4,632.4,620.0,1060,663508.0,626.0,0.97,2024-09-25 11:10:19.323389,990,620.0,625.95
2831,Union Hydropower Limited,UNHPL,58,255.0,255.0,255.0,10,2550.0,255.0,1.15,2024-09-25 11:10:18.288376,10,252.1,255.0
204,Gurkhas Finance Ltd.,GUFL,58,652.0,664.9,652.0,895,589923.3,664.9,1.98,2024-09-25 11:10:17.901341,67,652.0,659.13
8111,Hydorelectricity Investment and Development Company Limited Promoter,HIDCLP,58,156.0,159.1,155.0,25694,4049063.7,157.0,1.95,2024-09-25 11:10:17.765302,800,154.0,157.59
