businessDate,senMarCap,senFloatMarCap,floatMarCap,marCap
2024-09-24,1984234.48,763537.14,1382950.34,3928121.69
2024-09-23,2026725.68,779334.91,1415067.44,4021834.58
2024-09-22,2066962.54,794279.36,1447644.88,4115682.08
2024-09-18,2051315.71,788284.4,1440359.22,4097253.67
2024-09-16,2052169.86,787403.66,1441169.9,4103619.21
2024-09-15,2090268.46,801483.05,1472793.38,4194308.63
2024-09-12,2125127.77,814748.64,1500713.21,4274977.59
2024-09-11,2065383.58,791706.18,1457013.7,4150447.83
2024-09-10,2084593.62,798558.79,1469732.41,4186597.0
2024-09-09,2092648.7,802125.07,1477193.07,4207193.57
2024-09-08,2139632.58,820688.09,1511104.93,4296017.21
2024-09-05,2169216.43,832315.56,1527293.7,4336499.48
2024-09-04,2174846.26,837295.74,1534933.63,4350832.89
2024-09-03,2247462.95,864691.0,1586180.93,4494941.57
2024-09-02,2242096.46,861552.6,1581701.27,4483914.97
2024-09-01,2139985.1,822761.95,1508392.22,4281696.98
2024-08-29,2179649.64,838630.6,1540046.67,4366886.06
2024-08-28,2216836.43,852942.16,1561879.64,4425391.57
2024-08-27,2209353.17,850429.47,1560225.33,4419356.21
2024-08-25,2311130.11,890084.91,1624909.65,4597185.95
2024-08-22,1636362.13,589699.81,1669920.06,4724059.31
2024-08-21,1624856.58,584389.33,1663119.04,4714500.81
2024-08-18,1621005.53,581696.18,1661800.72,4711149.45
2024-08-15,1641407.15,586777.0,1680161.97,4765909.89
2024-08-14,1592311.41,565396.96,1645538.95,4697527.47
2024-08-13,1566742.06,556600.6,1624635.15,4643064.97
2024-08-12,1568164.04,558264.61,1623178.97,4653434.98
2024-08-11,1535835.81,544723.83,1576924.16,4541033.27
2024-08-08,1480044.91,518815.48,1500262.38,4391093.24
2024-08-07,1479384.36,519255.79,1496983.21,4380455.09
2024-08-06,1421536.26,499618.65,1440834.29,4208469.54
2024-08-05,1504828.39,532067.06,1524742.91,4438722.1
2024-08-01,1506155.57,537212.28,1510393.22,4372369.65
2024-07-31,1516219.67,542059.79,1512437.43,4380771.16
2024-07-30,1483623.48,531157.59,1478546.07,4278797.73
2024-07-29,1473743.57,527102.22,1461433.76,4222386.67
2024-07-28,1488078.23,533372.58,1473697.11,4254865.69
2024-07-25,1406213.83,500553.26,1403238.59,4074886.6
2024-07-24,1384452.27,491283.79,1383435.93,4024066.37
