businessDate,totalTurnover,totalTradedShares,totalTransactions,tradedScrips
2024-09-25,35435502.7,79404,485,121
2024-09-24,5689561356.69,15504929,77264,309
2024-09-23,5660302683.5,13535903,77153,329
2024-09-22,5092948690.69,12485731,72957,325
2024-09-18,5669194961.88,13952121,80378,320
2024-09-16,7361988383.74,17061807,92815,312
2024-09-15,10339235957.45,24846782,119739,324
2024-09-12,8169274612.81,19433154,103462,318
2024-09-11,6851179051.18,15428724,87036,317
2024-09-10,7245568421.39,19077583,93459,328
2024-09-09,9439106425.54,21048911,111986,327
2024-09-08,10122408249.12,22262924,112300,328
2024-09-05,9651513246.31,20153993,112692,316
2024-09-04,12925688215.22,26584192,137163,320
2024-09-03,13577105289.17,30599890,144197,328
2024-09-02,13104631802.67,31430048,160579,335
2024-09-01,10517682349.32,26246435,130632,337
2024-08-29,12243601365.9,28346246,146204,322
2024-08-28,13727368393.64,35007039,168175,326
2024-08-27,18649533170.35,43868970,234360,330
2024-08-25,19740593800.64,42686640,218578,333
2024-08-22,19160652085.56,40951720,216455,333
2024-08-21,18906373792.01,41454611,214319,337
2024-08-18,28836997376.12,65475366,300918,330
2024-08-15,29958519216.95,68980346,311536,334
2024-08-14,23430581150.48,51230340,244019,332
2024-08-13,21515010633.31,52764832,241665,332
2024-08-12,27242034765.89,64876217,283047,339
2024-08-11,25779453509.9,60321323,275207,330
2024-08-08,20070434103.38,50946832,209965,322
2024-08-07,17950918627.83,38041267,212681,330
2024-08-06,23716716874.1,53844237,271587,322
2024-08-05,21864992277.64,49773730,238078,326
2024-08-01,21713431007.74,51321629,229813,332
2024-07-31,21911503161.06,50967951,238272,332
2024-07-30,17266391542.97,40371778,206643,329
2024-07-29,19609177106.29,47790837,222660,325
2024-07-28,15810596235.45,40314517,163810,318
2024-07-25,14137899049.28,35594868,159757,320
2024-07-24,16208577314.53,40747226,188865,311
2024-07-23,14116330995.76,39790889,171387,317
2024-07-22,13915535440.98,39754711,170559,309
2024-07-21,15238271290.98,41195534,177467,315
2024-07-18,15548800738.21,39938237,184712,312
2024-07-17,12059266113.47,32095937,149681,306
2024-07-16,9138629642.41,25836285,119011,315
2024-07-15,8731436037.15,25079079,102372,322
2024-07-14,7620498520.87,22047327,96274,309
2024-07-11,7080698146.05,20237780,87086,331
2024-07-10,5744083391.51,15296739,72714,322
2024-07-09,5535958885.31,11661208,66716,316
2024-07-08,4569836106.0,10475181,59974,324
2024-07-07,6002931854.71,14014622,80838,325
2024-07-04,6482546980.64,22167678,84126,313
2024-07-03,5083528935.17,17134082,61199,314
2024-07-02,4576831720.09,11645905,60720,315
2024-07-01,2999965021.53,7165735,44169,323
2024-06-30,3607198407.66,9178895,50952,320
2024-06-27,3715903824.54,8901195,50281,333
2024-06-26,4058047734.22,8727164,54793,305
2024-06-25,4187796833.89,9435454,60858,319
2024-06-24,5077255116.15,10707878,66519,322
2024-06-23,4374597458.65,9561727,61513,317
2024-06-20,3870744903.34,8663699,53017,306
2024-06-19,3404372632.64,7209757,48706,308
2024-06-18,4055737884.32,9544734,58119,318
2024-06-16,5472253551.85,13223884,71997,317
2024-06-13,6443029208.11,14294712,77400,313
2024-06-12,5894089245.13,12950407,74858,312
2024-06-11,5555361739.06,12665329,74877,311
2024-06-10,5490609782.28,11634618,71948,314
2024-06-09,5189079522.44,10452128,69219,313
2024-06-06,4388278720.38,8813374,59650,322
2024-06-05,3992976492.79,8042767,49733,306
2024-06-04,4084715877.41,8305786,53999,315
2024-06-03,4004070243.6,8820125,59295,316
2024-06-02,4311015629.95,9697206,65654,325
2024-05-30,4217494195.65,9864482,61072,311
2024-05-29,4575063274.39,10738169,63080,314
2024-05-27,3893764143.93,9330295,58483,317
2024-05-26,4441538471.7,11044485,70586,315
2024-05-22,5687680912.8,14419521,78051,318
2024-05-21,5206208111.56,13241217,73667,317
2024-05-20,5854354212.19,14370689,80982,315
2024-05-19,5251024786.63,12240802,74991,323
2024-05-16,4233816403.71,8282556,57218,315
2024-05-15,3708430055.17,8490722,55862,315
2024-05-14,4088853664.8,9855285,59856,320
2024-05-13,3408608157.91,9541017,45828,320
2024-05-12,3155142168.43,7857031,49764,311
2024-05-09,3121286362.59,7058399,49332,313
2024-05-08,2547030825.5,5874967,41137,305
2024-05-07,2140502621.77,5064038,38214,314
2024-05-06,2891319979.88,6978321,48709,310
