SN,Name,Description,Published Date,File Link
1,Aswin 2081,Monthly Report of Aswin 2081,2024-10-23,https://www.nepalstock.com/api/web/report/download-report/0dbe29024ea2583c67d0b28fda7196b0.xlsx
2,Bhadra 2081,Monthly Report of Bhadra 2081,2024-09-18,https://www.nepalstock.com/api/web/report/download-report/f644d72b3d3cee895e523fbb13bee3b2.xlsx
3,Shrawan 2081,Monthly Report of Shrawan 2081,2024-08-18,https://www.nepalstock.com/api/web/report/download-report/20c58fb61b0c44675eb67d6de1ef2f40.xlsx
4,Asar 2081,Monthly Report of Asar 2081,2024-07-16,https://www.nepalstock.com/api/web/report/download-report/426123eac0adebca3522e6fc06644014.xlsx
5,Jestha 2081,Monthly Report of Jestha 2081,2024-06-18,https://www.nepalstock.com/api/web/report/download-report/3ac7e56f2f85c43370b6f45cae5ab385.xlsx
6,Baishak 2081,Monthly Report of Baishak 2081,2024-05-20,https://www.nepalstock.com/api/web/report/download-report/8ebb430ff4ae98a51285c688e16a1c65.xlsx
7,Chaitra 2080,Monthly Report of Chaitra 2080,2024-04-16,https://www.nepalstock.com/api/web/report/download-report/0af266e95f8204d853da62f3c942e990.xlsx
8,Fagun 2080,Monthly Report of Fagun 2080,2024-03-20,https://www.nepalstock.com/api/web/report/download-report/372476ec843078ca95f052e166f4cf29.xlsx
9,Magh 2080,Monthly Report of Magh 2080,2024-02-20,https://www.nepalstock.com/api/web/report/download-report/4dbebcfe4097d40e76737eb130aba7db.xlsx
10,Poush 2080,Monthly Report of Poush 2080,2024-01-18,https://www.nepalstock.com/api/web/report/download-report/16d79eaa9b6d6b66dc1c2b97dc2b9694.xlsx
11,Mangsir 2080,Monthly Report of Mangsir 2080,2023-12-29,https://www.nepalstock.com/api/web/report/download-report/a4be52685c35c738d2f8d6911aef233e.xlsx
12,Kartik 2080,Monthly report of Kartik 2080,2023-12-04,https://www.nepalstock.com/api/web/report/download-report/eca216de81303c0926053b960483209f.xlsx
13,Asoj 2080,Monthly Report of Asoj 2080,2023-11-06,https://www.nepalstock.com/api/web/report/download-report/df5cd7f150759b5176bb3070b150dedc.xlsx
14,Bhadra 2080,Monthly Report of Bhadra 2080,2023-10-16,https://www.nepalstock.com/api/web/report/download-report/4c5fafccedc85a026d777a52d723c8f3.xlsx
15,Chaitra 2069,Monthly Report for the month of Chaitra 2069,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/013030b71ec58e528dad7e9ae7c89287.xlsx
16,Falgun 2069,Monthly Report for the month of Falgun 2069,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/504127b282c91a8ba9d5241ad80c993c.xlsx
17,Magh 2069,Monthly Report for the month of Magh 2069,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/88370d7f558b2573b5a8d8116f5b73cb.xlsx
18,Poush 2069,Monthly Report for the month of Poush 2069,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/06fb13fb67d15b455c2d0c3a34d3c24c.xlsx
19,Mangshir 2069,Monthly Report for the month of Mangshir 2069,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/fdb094fee401f4d59dc9f1b12b6d8139.xlsx
20,Kartik 2069,Monthly Report for the month of Kartik 2069,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/50ac4b135c32471b340683cdaefe5196.xlsx
21,Ashwin 2069,Monthly Report for the month of Ashwin 2069,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/acb1ca0f1e13c6d8d08ebaf1ea6e1336.xls
22,Bhadra 2069,Monthly Report for the month of Bhadra 2069,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/e8e7fc4981925521bba4ef0702d50e31.xls
23,Shrawan 2069,Monthly Report for the month of Shrawan 2069,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/faac910ebd08406d34d33b34ba0b02bc.xls
24,Ashadh 2069,Monthly Report for the month of Ashadh 2069,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/0523ecc90e24047ab89eb5ef10d29bb7.xls
25,Jestha 2069,Monthly Report for the month of Jestha 2069,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/edb67b3b0c845c1a385a5685251b2020.xls
26,Baisakh 2069,Monthly Report for the month of Baisakh 2069,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/a589f588888d3e95e85f53725d5faf34.xls
27,Chaitra 2068,Monthly Report for the month of Chaitra 2068,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/9d8cd3341052c45925e65e839cbb3b81.xls
28,Falgun 2068,Monthly Report for the month of Falgun 2068,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/16dacbb8114d75f4ed63cb871692ba0a.xls
29,Magh 2068,Monthly Report for the month of Magh 2068,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/c1c253649b0ebc6d41e9213c949f3eea.xls
30,Poush 2068,Monthly Report for the month of Poush 2068,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/a6c9a6a4ae80fded35d1a68001bf1321.xls
31,Mangshir 2068,Monthly Report for the month of Mangshir 2068,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/9d8c4be1056750045a1cd0cb1ae0363c.xls
32,Kartik 2068,Monthly Report for the month of Kartik 2068,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/73cc8281ab46be23d76702a157f3a99c.xls
33,Ashwin 2068,Monthly Report for the month of Ashwin 2068,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/a66b616dbafed899d802fa4772bf80e0.xls
34,Bhadra 2068,Monthly Report for the month of Bhadra 2068,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/e0a9f57f2175bc03629ef0a18814b1f8.xls
35,Shrawan 2068,Monthly Report for the month of Shrawan 2068,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/9208e5860e024e7ef2376a0cc860dfda.xls
36,Ashadh 2068,Monthly Report for the month of Ashadh 2068,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/f3066246a2b16b3caa26f47c0a4de5f4.xls
37,Jestha 2068,Monthly Report for the month of Jestha 2068,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/70ab71866c585d8959639b70e4d67f5e.xls
38,Baisakh 2068,Monthly Report for the month of Baisakh 2068,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/67686e7ac68b6c4638d51e742bb34948.xls
39,Chaitra 2067,Monthly Report for the month of Chaitra 2067,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/8bdc6347e7d1ea87affad7ff17c4259f.xls
40,Falgun 2067,Monthly Report for the month of Falgun 2067,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/cb2fceb18cf2fa1fc87a0729f037f749.xls
41,Magh 2067,Monthly Report for the month of Magh 2067,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/6c67fe2c0ff4837e31fd91ccbe63382f.xls
42,Poush 2067,Monthly Report for the month of Poush 2067,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/a3b42c7743f0bd90b7fedb6bf98ba53c.xls
43,Mangshir 2067,Monthly Report for the month of Mangshir 2067,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/9d04dbb2638f4d9a5a8497e92f4c9bcb.xls
44,Kartik 2067,Monthly Report for the month of Kartik 2067,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/be634d7e1910a086fc7ee62d24b3d3f9.xls
45,Ashwin 2067,Monthly Report for the month of Ashwin 2067,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/d4fd9565b971798d90d5964d644a3feb.xls
46,Bhadra 2067,Monthly Report for the month of Bhadra 2067,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/fdff7e3337357eea312bb96afc7cbddb.xls
47,Shrawan 2067,Monthly Report for the month of Shrawan 2067,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/b1a5a76c3a2c96ffb2526a7bd02ac9c3.xls
48,Ashadh 2067,Monthly Report for the month of Ashadh 2067,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/723fb1861f9662e8abde84bc48f2ad2a.xls
49,Jestha 2067,Monthly Report for the month of Jestha 2067,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/11dcd1d9ff1a21d23b0b2c1f4cf38e83.xls
50,Baisakh 2067,Monthly Report for the month of Baisakh 2067,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/a510c9ba564239cec0eb18b22cb5bd61.xls
51,Chaitra 2066,Monthly Report for the month of Chaitra 2066,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/bcd86fa8a04d7ae84495f8bfff6047ab.xls
52,Falgun 2066,Monthly Report for the month of Falgun 2066,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/65c572cf308e8cc73e6241f8ed6247fa.xls
53,Magh 2066,Monthly Report for the month of Magh 2066,2023-08-22,https://www.nepalstock.com/api/web/report/download-report/62b781595c5ca6b2d2eca3dc48d7a0bc.xls
