businessDate,sectorName,turnOverValues,turnOverVolume,totalTransaction
1970-01-01,Preference Share,0.0,0,0
2024-09-24,Commercial Banks,637660801.8,2165058,9238
2024-09-24,Corporate Debenture,3787999.5,3553,70
2024-09-24,Development Banks,300007083.8,636194,3594
2024-09-24,Finance,571301713.2,893012,6984
2024-09-24,Hotels And Tourism,91478603.8,137854,1159
2024-09-24,Hydro Power,1659295455.5,5097696,27736
2024-09-24,Investment,489983211.5,942350,4842
2024-09-24,Life Insurance,476704345.7,789198,6320
2024-09-24,Manufacturing And Processing,214233828.2,324205,3693
2024-09-24,Microfinance,437502092.1,383193,5573
2024-09-24,Mutual Fund,26683857.69,2653315,645
2024-09-24,Non Life Insurance,346324174.4,350592,2321
2024-09-24,Others,263661224.4,342527,4032
2024-09-24,Promoter Share,121541368.8,777196,810
2024-09-24,Tradings,49395596.3,8986,247
