S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
1,2024-01-31,131,NABIL,Nabil Bank Limited,489.0,490.0,484.6,484.6,101519,49422553.3,487.0,705.7,483.2,2024-01-31T14:59:57.698116,484.6,862,486.83,131118.21
2,2024-01-31,132,NIMB,Nepal Investment Mega Bank Limited,173.1,174.8,172.0,172.5,71603,12389067.2,172.9,251.0,168.0,2024-01-31T14:59:54.015240,172.5,378,173.02,58871.83
3,2024-01-31,133,SCB,Standard Chartered Bank Limited,540.0,541.0,537.0,537.0,27810,15000097.9,540.0,582.0,488.0,2024-01-31T14:58:05.578040,537.0,139,539.37,50636.17
4,2024-01-31,134,HBL,Himalayan Bank Limited,204.0,205.8,201.8,202.5,20790,4215610.1,203.0,305.0,193.0,2024-01-31T14:59:33.642263,202.5,161,202.77,43854.65
5,2024-01-31,135,SBI,Nepal SBI Bank Limited,300.0,300.0,295.1,296.5,13996,4147711.3,301.1,378.4,282.0,2024-01-31T14:59:29.565673,296.5,67,296.34,31132.95
6,2024-01-31,137,EBL,Everest Bank Limited,540.0,540.0,530.0,534.0,47569,25387752.3,540.0,633.0,448.0,2024-01-31T14:59:48.082703,534.0,239,533.7,62840.61
7,2024-01-31,139,NICA,NIC Asia Bank Ltd.,481.0,481.9,474.0,475.0,64290,30617801.9,479.0,852.0,469.1,2024-01-31T14:59:53.475356,475.0,657,476.24,70858.44
8,2024-01-31,140,MBL,Machhapuchhre Bank Limited,188.5,190.0,185.7,186.0,116059,21708121.5,189.3,283.0,179.0,2024-01-31T14:59:55.719528,186.0,326,187.04,21615.72
9,2024-01-31,141,LSL,Laxmi Sunrise Bank Limited,172.3,173.4,167.2,168.0,49143,8356955.3,169.0,208.0,167.2,2024-01-31T14:59:51.359010,168.0,197,170.05,38954.42
10,2024-01-31,142,KBL,Kumari Bank Limited,153.8,153.8,150.0,151.8,270719,40777430.3,152.9,198.9,148.2,2024-01-31T14:59:59.083068,151.8,699,150.62,39810.86
11,2024-01-31,145,SBL,Siddhartha Bank Limited,235.0,240.5,235.0,239.0,59498,14204266.5,234.9,300.7,223.0,2024-01-31T14:59:54.280404,239.0,201,238.73,33675.05
12,2024-01-31,147,SHL,Soaltee Hotel Limited,463.1,468.0,451.2,454.0,94199,43407280.7,461.2,536.0,215.6,2024-01-31T14:59:58.230193,454.0,241,460.8,42174.37
13,2024-01-31,148,TRH,Taragaon Regency Hotel Limited,824.0,824.0,800.1,810.0,9759,7878627.9,829.0,979.2,436.0,2024-01-31T14:59:59.625251,810.0,73,807.31,15893.17
14,2024-01-31,149,OHL,Oriental Hotels Limited,783.0,788.5,763.0,770.0,5669,4414234.0,798.9,885.0,499.0,2024-01-31T14:59:56.227116,770.0,45,778.66,8686.3
15,2024-01-31,152,NHPC,National Hydro Power Company Limited,177.9,180.0,171.5,173.0,168748,29657728.3,177.9,275.0,126.0,2024-01-31T14:59:58.248399,173.0,707,175.75,4266.94
16,2024-01-31,153,BPCL,Butwal Power Company Limited,320.0,323.9,316.0,316.0,22545,7186653.0,318.9,365.0,292.1,2024-01-31T14:59:35.477396,316.0,137,318.76,10772.64
17,2024-01-31,154,CHCL,Chilime Hydropower Company Limited,498.0,508.0,491.0,493.6,24402,12112099.7,498.0,594.0,446.0,2024-01-31T14:59:56.627606,493.6,130,496.35,39409.01
18,2024-01-31,155,STC,Salt Trading Corporation,5441.7,5441.7,5228.0,5231.0,787,4160488.4,5335.0,5900.0,3590.0,2024-01-31T14:59:59.360222,5231.0,37,5286.51,14588.44
19,2024-01-31,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,665.0,702.0,659.0,659.0,8311,5549410.2,662.5,1035.0,512.1,2024-01-31T14:59:43.547203,659.0,102,667.71,17213.61
20,2024-01-31,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,869.0,875.0,867.0,867.0,7140,6200281.2,871.0,1238.0,727.0,2024-01-31T14:59:32.033669,867.0,116,868.38,25812.08
21,2024-01-31,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,775.0,802.0,775.0,776.0,5135,4007856.7,788.9,975.0,606.7,2024-01-31T14:57:31.768562,776.0,79,780.49,12036.45
22,2024-01-31,171,SANIMA,Sanima Bank Limited,246.0,250.1,245.0,246.5,27296,6718725.1,247.6,310.0,225.5,2024-01-31T14:59:44.569956,246.5,205,246.14,33478.46
23,2024-01-31,172,NABBC,Narayani Development Bank Limited,409.0,409.0,395.0,405.0,4728,1886941.5,409.0,460.0,342.1,2024-01-31T14:59:47.867086,405.0,38,399.09,1062.99
24,2024-01-31,176,NICL,Nepal Insurance Co. Ltd.,901.3,917.0,881.1,898.0,22066,19770932.1,907.0,1023.0,468.0,2024-01-31T14:59:59.510273,898.0,120,895.99,14765.29
25,2024-01-31,177,RBCL,Rastriya Beema Company Limited,14000.0,14100.0,13920.0,14000.0,350,4891088.0,13999.0,17140.0,12200.0,2024-01-31T14:48:55.069586,14000.0,20,13974.53,37329.11
26,2024-01-31,178,NLICL,National Life Insurance Co. Ltd.,594.2,600.0,583.0,585.0,10895,6433137.6,591.0,692.5,525.1,2024-01-31T14:59:54.582123,585.0,132,590.46,29318.25
27,2024-01-31,179,HEI,Himalayan Everest Insurance Limited,618.9,618.9,593.1,593.7,32208,19421652.1,607.1,705.0,400.6,2024-01-31T14:59:57.364655,593.7,116,603.0,14843.44
28,2024-01-31,180,UAIL,United Ajod Insurance Limited,636.2,639.0,625.0,626.5,35216,22230336.5,634.0,696.0,401.8,2024-01-31T14:59:46.135426,626.5,230,631.25,11932.12
29,2024-01-31,182,SPIL,Siddhartha Premier Insurance Limited,740.0,745.0,721.0,722.0,16754,12278978.6,737.0,837.0,534.0,2024-01-31T14:59:37.585417,722.0,132,732.89,20263.29
30,2024-01-31,183,NIL,Neco Insurance Limited,831.1,840.0,825.0,825.0,8587,7114459.0,834.0,946.0,706.1,2024-01-31T14:59:31.643220,825.0,82,828.51,16601.98
31,2024-01-31,184,PRIN,Prabhu Insurance Ltd.,840.0,840.0,800.0,806.0,20332,16403610.3,827.9,897.0,435.0,2024-01-31T14:59:32.442503,806.0,127,806.78,11091.55
32,2024-01-31,185,SALICO,Sagarmatha Lumbini Insurance Co. Limited,710.0,710.0,685.1,689.0,4329,2992152.0,697.2,812.0,551.4,2024-01-31T14:59:35.471754,689.0,66,691.18,18069.98
33,2024-01-31,186,IGI,IGI Prudential insurance Limited,590.0,601.0,564.5,578.2,136283,79083035.0,585.0,615.0,366.2,2024-01-31T14:59:57.876175,578.2,526,580.28,17515.61
34,2024-01-31,187,NLIC,Nepal Life Insurance Co. Ltd.,639.0,639.0,625.0,625.0,28535,17922452.6,630.7,820.0,615.0,2024-01-31T14:59:37.484213,625.0,370,628.08,51299.79
35,2024-01-31,188,LICN,Life Insurance Corporation (Nepal) Limited,1401.0,1414.0,1396.3,1403.5,3705,5199177.5,1401.3,1800.0,1238.0,2024-01-31T14:59:56.716741,1403.5,41,1403.28,37237.66
36,2024-01-31,192,SICL,Shikhar Insurance Co. Ltd.,743.7,743.7,730.0,730.0,11445,8391003.7,734.1,926.0,682.0,2024-01-31T14:59:59.140421,730.0,161,733.15,19381.11
37,2024-01-31,194,NFS,Nepal Finance Ltd.,322.0,353.0,322.0,329.0,78067,26262222.5,327.4,390.0,255.5,2024-01-31T14:59:55.446469,329.0,327,336.4,2760.13
38,2024-01-31,195,BNL,Bottlers Nepal (Balaju) Limited,6360.2,6360.2,6360.2,6360.2,10,63602.0,6235.5,6362.5,2222.2,2024-01-31T10:46:00.028488,6360.2,1,6360.2,12395.31
39,2024-01-31,204,GUFL,Gurkhas Finance Ltd.,555.1,574.0,553.0,553.5,17519,9772897.9,563.6,611.0,454.0,2024-01-31T14:59:42.542461,553.5,138,557.84,4804.35
40,2024-01-31,210,CIT,Citizen Investment Trust,2129.0,2129.5,2098.0,2101.0,9852,20754734.4,2120.0,2704.0,1850.0,2024-01-31T14:59:59.478434,2101.0,247,2106.65,111641.9
41,2024-01-31,213,BNT,Bottlers Nepal (Terai) Limited,12199.2,12199.2,12000.0,12000.0,20,241992.0,11960.0,16200.0,10500.0,2024-01-31T12:46:41.659162,12000.0,2,12099.6,14520.0
42,2024-01-31,219,UNL,Unilever Nepal Limited,40100.0,41604.6,39975.0,41604.6,180,7310182.0,39993.0,45151.0,18300.0,2024-01-31T14:53:54.527206,41604.6,18,40612.12,38305.36
43,2024-01-31,227,BFC,Best Finance Company Ltd.,335.0,335.4,319.0,325.0,10888,3562915.0,330.0,377.0,284.0,2024-01-31T14:59:44.691509,325.0,76,327.23,2778.15
44,2024-01-31,232,GFCL,Goodwill Finance Limited,440.0,448.5,436.1,436.1,7746,3409605.4,445.0,530.0,375.0,2024-01-31T14:59:58.087429,436.1,53,440.17,4126.01
45,2024-01-31,235,HDL,Himalayan Distillery Limited,1660.0,1668.0,1640.0,1644.9,21764,35848312.7,1651.0,2840.7,1540.0,2024-01-31T14:59:57.474204,1644.9,512,1647.13,43960.34
46,2024-01-31,236,PFL,Pokhara Finance Ltd.,365.1,372.4,360.6,361.0,7714,2820419.0,367.9,453.6,320.2,2024-01-31T14:57:54.027815,361.0,56,365.62,3908.03
47,2024-01-31,238,NMB,NMB Bank Limited,198.0,198.0,192.2,195.0,69374,13422454.0,196.0,252.0,192.2,2024-01-31T14:59:15.151833,195.0,331,193.47,35815.08
48,2024-01-31,244,SIFC,Shree Investment Finance Co. Ltd.,360.0,360.0,345.5,347.1,14216,5006678.2,361.0,408.0,293.2,2024-01-31T14:59:58.688995,347.1,74,352.18,3407.42
49,2024-01-31,245,CFCL,Central Finance Co. Ltd.,348.0,350.0,335.2,337.0,11152,3783858.1,342.0,423.0,275.5,2024-01-31T14:58:05.388040,337.0,81,339.29,3197.71
50,2024-01-31,250,JFL,Janaki Finance Company Limited,366.1,373.0,360.0,360.0,10674,3896844.6,372.0,447.0,316.7,2024-01-31T14:59:51.388828,360.0,72,365.07,2485.7
51,2024-01-31,255,PRVU,Prabhu  Bank Limited,157.9,157.9,155.0,155.5,83101,12952333.4,156.2,206.0,152.3,2024-01-31T14:59:57.699551,155.5,434,155.86,36608.57
52,2024-01-31,256,SFCL,Samriddhi Finance Company Limited,316.5,321.0,306.0,309.9,38332,11968790.0,316.4,355.0,246.2,2024-01-31T14:59:58.642948,309.9,216,312.24,2537.81
53,2024-01-31,263,GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,368.0,368.0,352.0,353.0,5945,2127792.8,367.0,427.0,277.0,2024-01-31T14:59:42.825954,353.0,55,357.91,3572.98
54,2024-01-31,268,SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,762.0,765.0,745.0,754.0,9008,6763298.2,764.0,1218.0,653.7,2024-01-31T14:59:31.747201,754.0,52,750.81,10933.0
55,2024-01-31,273,ICFC,ICFC Finance Limited,477.0,494.0,476.1,479.0,12215,5875660.0,486.0,552.0,391.0,2024-01-31T14:58:40.503008,479.0,109,481.02,5668.83
56,2024-01-31,274,EDBL,Excel Development Bank Ltd.,355.1,357.9,350.0,350.0,10088,3554993.7,358.0,399.7,266.4,2024-01-31T14:59:14.160421,350.0,62,352.39,4373.93
57,2024-01-31,307,NTC,Nepal Doorsanchar Company Limited,900.0,919.3,866.0,878.0,22328,19637534.7,883.7,1000.0,758.0,2024-01-31T14:59:58.091225,878.0,336,879.5,158040.0
58,2024-01-31,338,PROFL,Progressive Finance Limited,325.0,330.3,315.0,315.7,17567,5630794.2,323.1,465.0,269.1,2024-01-31T14:59:42.975867,315.7,144,320.53,2702.73
