symbol,ltp,pointChange,percentageChange,securityName,securityId
SADBL,414.0,22.0,5.61,Shangrila Development Bank Ltd.,472
BHL,463.6,24.6,5.6,Balephi Hydropower Limited,8055
SMH,1142.0,43.0,3.91,Super Mai Hydropower Limited,9148
BPCL,399.9,9.4,2.41,Butwal Power Company Limited,153
BNT,13999.0,274.0,2.0,Bottlers Nepal (Terai) Limited,213
MLBL,382.5,7.5,2.0,Mahalaxmi Bikas Bank Ltd.,401
VLUCL,632.4,12.4,2.0,Vision Lumbini Urja Company Limited ,9225
SGHC,367.5,7.2,2.0,Swet-Ganga Hydropower & Construction Limited ,8100
SRLI,560.0,10.9,1.99,Sanima Reliance Life Insurance Limited,5982
NWCL,916.9,17.9,1.99,Nepal Warehousing Company Limited ,9233
SHPC,492.0,9.6,1.99,Sanima Mai Hydropower Ltd.,591
GRDBL,635.4,12.4,1.99,Green Development Bank Ltd.,2744
SFCL,518.2,10.1,1.99,Samriddhi Finance Company Limited,256
LBBL,456.9,8.9,1.99,Lumbini Bikas Bank Ltd.,358
SPDL,267.3,5.2,1.98,Synergy Power Development Ltd.,2759
RADHI,366.1,7.1,1.98,Radhi Bidyut Company Ltd,2776
MAKAR,489.4,9.5,1.98,Makar Jitumaya Suri Hydropower Limited,9166
SAPDBL,483.4,9.4,1.98,Saptakoshi Development Bank Ltd,2860
JBBL,331.3,6.4,1.97,Jyoti Bikas Bank Limited,418
GHL,203.0,3.9,1.96,Ghalemdi Hydro Limited,2806
MLBS,1569.0,30.0,1.95,Manushi Laghubitta Bittiya Sanstha Limited,8018
NSIF2,11.54,0.22,1.94,NMB Sulav Investment Fund - 2,8125
JOSHI,295.6,5.6,1.93,Joshi Hydropower Development Company Ltd,2789
RFPL,535.0,10.0,1.9,River Falls Power Limited,8066
NADEP,1029.0,19.0,1.88,Nadep Laghubittiya bittya Sanstha Ltd.,2784
NIMB,220.0,4.0,1.85,Nepal Investment Mega Bank Limited,132
ULHC,390.0,7.0,1.83,Upper Lohore Khola Hydropower Company Limited,9208
BFC,494.0,8.8,1.81,Best Finance Company Ltd.,227
LSL,236.0,4.0,1.72,Laxmi Sunrise Bank Limited,141
NHPC,207.0,3.5,1.72,National Hydro Power Company Limited,152
SJCL,314.0,5.3,1.72,SANJEN JALAVIDHYUT COMPANY LIMITED,2842
API,306.0,5.0,1.66,Api Power Company Ltd.,697
SPHL,688.9,11.0,1.62,Sayapatri Hydropower Limited,8121
HIDCL,253.0,4.0,1.61,Hydorelectricity Investment and Development Company Ltd,2742
SHINE,440.0,6.0,1.38,Shine Resunga Development Bank Ltd.,473
SKBBL,890.0,12.0,1.37,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,574
BARUN,325.0,4.1,1.28,Barun Hydropower Co. Ltd.,686
NMB,246.0,2.8,1.15,NMB Bank Limited,238
CHDC,1699.0,15.0,0.89,CEDB Hydropower Development Company Limited,3946
SHIVM,535.0,4.7,0.89,SHIVAM CEMENTS LTD,2809
HDHPC,195.0,1.7,0.88,Himal Dolakha Hydropower Company Limited,2880
NICA,434.0,3.8,0.88,NIC Asia Bank Ltd.,139
AKPL,221.0,1.9,0.87,Arun Kabeli Power Ltd.,2757
MBL,233.0,1.9,0.82,Machhapuchhre Bank Limited,140
SSHL,205.0,1.1,0.54,Shiva Shree Hydropower Ltd,2907
NICL,965.0,5.0,0.52,Nepal Insurance Co. Ltd.,176
IGI,575.0,2.9,0.51,IGI Prudential insurance Limited,186
NGPL,425.0,2.0,0.47,Ngadi Group Power Ltd.,2743
GUFL,655.0,3.0,0.46,Gurkhas Finance Ltd.,204
CHCL,540.0,2.0,0.37,Chilime Hydropower Company Limited,154
AHPC,253.0,0.8,0.32,Arun Valley Hydropower Development Co. Ltd.,360
HRL,765.0,2.1,0.28,Himalayan Reinsurance Limited,9234
NABIL,555.0,1.5,0.27,Nabil Bank Limited,131
GBBL,420.0,1.0,0.24,Garima Bikas Bank Limited,417
GLH,229.5,0.5,0.22,GreenLife Hydropower Limited,2924
HDL,1240.0,2.0,0.16,Himalayan Distillery Limited,235
KBL,206.0,0.1,0.05,Kumari Bank Limited,142
EBL,610.0,0.1,0.02,Everest Bank Limited,137
HLI,448.0,0.1,0.02,Himalayan Life Insurance Limited,393
NRM,412.0,0.1,0.02,Nepal Republic Media Limited,9183
