symbol,ltp,pointChange,percentageChange,securityName,securityId
USHL,815.0,-64.0,-7.28,Upper Syange Hydropower Limited,9192
SLBBL,988.4,-61.6,-5.87,Swarojgar Laghubitta Bittiya Sanstha Ltd.,545
NFS,1241.0,-54.9,-4.24,Nepal Finance Ltd.,194
CORBL,834.7,-34.3,-3.95,Corporate Development Bank Limited,450
CYCL,1488.1,-60.9,-3.93,CYC Nepal Laghubitta Bittiya Sanstha Limited,8065
ANLB,4804.1,-196.1,-3.92,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,9161
HHL,473.2,-19.1,-3.88,Himalayan Hydropower Limited,8076
RAWA,730.1,-28.9,-3.81,Rawa Energy Development Limited,9181
MDB,582.8,-12.1,-2.03,Miteri Development Bank Limited,371
SPL,808.5,-16.5,-2.0,Shuvam Power Limited,9147
TAMOR,439.2,-8.9,-1.99,Sanima Middle Tamor Hydropower Limited,9156
MEHL,359.7,-7.3,-1.99,Manakamana Engineering Hydropower Limited,9203
GMFIL,483.2,-9.8,-1.99,Guheshowori Merchant Bank & Finance Co. Ltd.,263
IHL,496.0,-10.0,-1.98,Ingwa Hydropower Limited,9176
TVCL,441.9,-8.9,-1.97,Trishuli Jal Vidhyut Company Limited ,9218
SAEF,10.44,-0.21,-1.97,Sanima Equity Fund,2773
NICGF,9.95,-0.2,-1.97,NIC Asia Growth Fund,2779
PROFL,500.0,-10.0,-1.96,Progressive Finance Limited,338
BEDC,453.0,-9.0,-1.95,Bhugol Energy Development Company Limited,9171
NABBC,547.0,-10.0,-1.8,Narayani Development Bank Limited,172
MPFL,575.0,-10.0,-1.71,Multipurpose Finance Company  Limited,471
SBI,410.1,-6.8,-1.63,Nepal SBI Bank Limited,135
RLFL,503.0,-8.0,-1.57,Reliance Finance Ltd.,587
NLG,1281.1,-19.9,-1.53,NLG Insurance Company Ltd.,559
JSLBB,1465.0,-22.0,-1.48,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,695
MCHL,473.0,-7.0,-1.46,Menchhiyam Hydropower Limited,9175
MEL,279.0,-4.0,-1.41,Modi Energy Limited,9179
EHPL,710.0,-10.0,-1.39,Eastern Hydropower Limited,8131
PCBL,265.0,-3.0,-1.12,Prime Commercial Bank Ltd.,357
MBJC,321.4,-3.6,-1.11,Madhya Bhotekoshi Jalavidyut Company Limited,8031
GBIME,232.3,-2.6,-1.11,Global IME Bank Limited,341
MANDU,895.0,-10.0,-1.1,Mandu Hydropower Limited,9212
NIFRA,258.6,-2.8,-1.07,Nepal Infrastructure Bank Limited,2919
PHCL,314.0,-3.1,-0.98,Peoples Hydropower Company Limited,8133
UNLB,2403.0,-23.0,-0.95,Unique Nepal Laghubitta Bittiya Sanstha Limited,9140
PRVU,225.2,-2.1,-0.92,Prabhu  Bank Limited,255
SWMF,770.0,-7.0,-0.9,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,706
SPIL,830.0,-7.0,-0.84,Siddhartha Premier Insurance Limited,182
CLI,595.0,-5.0,-0.83,Citizen Life Insurance Company Limited,9209
CHDC,1671.0,-13.0,-0.77,CEDB Hydropower Development Company Limited,3946
EDBL,625.0,-4.8,-0.76,Excel Development Bank Ltd.,274
ILI,460.0,-3.0,-0.65,IME Life Insurance Company Limited,9184
JBLB,1421.1,-8.9,-0.62,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd,4951
MFIL,614.9,-3.1,-0.5,Manjushree Finance Ltd.,516
UAIL,610.0,-3.0,-0.49,United Ajod Insurance Limited,180
AKJCL,194.0,-0.9,-0.46,Ankhu Khola Jalvidhyut Company Ltd,2788
CZBIL,228.0,-1.0,-0.44,Citizens Bank International Limited,348
SHEL,233.0,-1.0,-0.43,Singati Hydro Energy Limited,2934
NTC,900.0,-3.0,-0.33,Nepal Doorsanchar Company Limited,307
SJCL,307.8,-0.9,-0.29,SANJEN JALAVIDHYUT COMPANY LIMITED,2842
KPCL,454.0,-1.0,-0.22,Kalika power Company Ltd,2787
SONA,434.0,-0.9,-0.21,Sonapur Minerals And Oil Limited,9216
EBL,609.0,-0.9,-0.15,Everest Bank Limited,137
SICL,790.0,-0.9,-0.11,Shikhar Insurance Co. Ltd.,192
ADBL,351.0,-0.2,-0.06,Agricultural Development Bank Limited,397
SINDU,548.8,-0.2,-0.04,Sindhu Bikash Bank Ltd,561
MAKAR,479.7,-0.2,-0.04,Makar Jitumaya Suri Hydropower Limited,9166
RSDC,664.8,-0.2,-0.03,RSDC Laghubitta Bittiya Sanstha Ltd.,2748
SANIMA,320.0,-0.1,-0.03,Sanima Bank Limited,171
