symbol,shareTraded,closingPrice,securityName,securityId
HIDCLP,15590,158.0,Hydorelectricity Investment and Development Company Limited Promoter,8111
USHL,10655,815.0,Upper Syange Hydropower Limited,9192
EDBL,8230,625.0,Excel Development Bank Ltd.,274
API,7057,304.0,Api Power Company Ltd.,697
AHPC,6333,255.0,Arun Valley Hydropower Development Co. Ltd.,360
HDHPC,6190,195.0,Himal Dolakha Hydropower Company Limited,2880
AKPL,3983,221.0,Arun Kabeli Power Ltd.,2757
TAMOR,3000,439.2,Sanima Middle Tamor Hydropower Limited,9156
RAWA,2250,730.1,Rawa Energy Development Limited,9181
PROFL,2200,500.0,Progressive Finance Limited,338
SHEL,1850,233.0,Singati Hydro Energy Limited,2934
UPPER,1800,205.1,Upper Tamakoshi Hydropower Ltd,2792
SSHL,1300,205.0,Shiva Shree Hydropower Ltd,2907
RLFL,1200,503.0,Reliance Finance Ltd.,587
PRVU,1131,225.2,Prabhu  Bank Limited,255
NABIL,1085,555.0,Nabil Bank Limited,131
CHCL,1063,538.1,Chilime Hydropower Company Limited,154
ILI,1053,460.0,IME Life Insurance Company Limited,9184
PCBL,1000,265.0,Prime Commercial Bank Ltd.,357
ADBL,1000,351.0,Agricultural Development Bank Limited,397
HIDCL,1000,253.0,Hydorelectricity Investment and Development Company Ltd,2742
MPFL,981,575.0,Multipurpose Finance Company  Limited,471
GHL,960,203.0,Ghalemdi Hydro Limited,2806
NFS,875,1241.0,Nepal Finance Ltd.,194
SADBL,720,414.0,Shangrila Development Bank Ltd.,472
CHDC,710,1671.0,CEDB Hydropower Development Company Limited,3946
GMFIL,645,483.2,Guheshowori Merchant Bank & Finance Co. Ltd.,263
SRLI,615,560.0,Sanima Reliance Life Insurance Limited,5982
NICA,612,434.0,NIC Asia Bank Ltd.,139
SHPC,557,492.0,Sanima Mai Hydropower Ltd.,591
SHINE,535,438.9,Shine Resunga Development Bank Ltd.,473
DOLTI,510,480.0,Dolti Power Company Limited,9170
UPCL,500,241.0,UNIVERSAL POWER COMPANY LTD,2810
KBL,500,206.0,Kumari Bank Limited,142
NIMB,485,220.3,Nepal Investment Mega Bank Limited,132
GLH,468,229.5,GreenLife Hydropower Limited,2924
GUFL,445,653.0,Gurkhas Finance Ltd.,204
BARUN,410,325.0,Barun Hydropower Co. Ltd.,686
NIFRA,386,258.6,Nepal Infrastructure Bank Limited,2919
HHL,380,473.2,Himalayan Hydropower Limited,8076
NHPC,370,207.0,National Hydro Power Company Limited,152
MANDU,365,895.0,Mandu Hydropower Limited,9212
HRL,360,765.2,Himalayan Reinsurance Limited,9234
EBL,360,609.0,Everest Bank Limited,137
GBIME,315,232.3,Global IME Bank Limited,341
SLBBL,300,988.4,Swarojgar Laghubitta Bittiya Sanstha Ltd.,545
NGPL,283,425.0,Ngadi Group Power Ltd.,2743
GFCL,280,761.0,Goodwill Finance Limited,232
SAHAS,254,515.0,Sahas Urja Limited,8021
MATRI,240,1485.0,Matribhumi Lagubitta Bittiya Sanstha Limited,694
MFIL,230,614.9,Manjushree Finance Ltd.,516
JBBL,200,331.3,Jyoti Bikas Bank Limited,418
CORBL,200,834.7,Corporate Development Bank Limited,450
UNLB,183,2403.0,Unique Nepal Laghubitta Bittiya Sanstha Limited,9140
CLI,172,595.0,Citizen Life Insurance Company Limited,9209
SHIVM,156,535.0,SHIVAM CEMENTS LTD,2809
SONA,150,434.0,Sonapur Minerals And Oil Limited,9216
MEHL,145,359.7,Manakamana Engineering Hydropower Limited,9203
NICL,140,965.0,Nepal Insurance Co. Ltd.,176
JBLB,120,1421.1,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd,4951
RURU,100,797.6,Ru Ru Jalbidhyut Pariyojana Limited,2935
NSIF2,100,11.54,NMB Sulav Investment Fund - 2,8125
BHL,100,454.4,Balephi Hydropower Limited,8055
IGI,100,575.0,IGI Prudential insurance Limited,186
LSL,100,236.0,Laxmi Sunrise Bank Limited,141
CZBIL,100,228.0,Citizens Bank International Limited,348
GBBL,100,420.0,Garima Bikas Bank Limited,417
SAEF,100,10.44,Sanima Equity Fund,2773
NICGF,100,9.95,NIC Asia Growth Fund,2779
HDL,91,1240.0,Himalayan Distillery Limited,235
NMLBBL,80,750.0,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,396
LEC,79,255.0,Liberty Energy Company Limited,2903
MEL,70,279.0,Modi Energy Limited,9179
JSLBB,70,1465.0,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,695
NTC,70,900.0,Nepal Doorsanchar Company Limited,307
MAKAR,60,479.7,Makar Jitumaya Suri Hydropower Limited,9166
ANLB,50,4804.1,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,9161
MHNL,50,260.0,Mountain Hydro Nepal Limited,2811
CYCL,50,1488.1,CYC Nepal Laghubitta Bittiya Sanstha Limited,8065
BFC,50,494.0,Best Finance Company Ltd.,227
NLIC,50,738.0,Nepal Life Insurance Co. Ltd.,187
BPCL,50,392.1,Butwal Power Company Limited,153
NMB,40,246.0,NMB Bank Limited,238
MDB,40,582.8,Miteri Development Bank Limited,371
SMH,40,1142.0,Super Mai Hydropower Limited,9148
ULHC,40,390.0,Upper Lohore Khola Hydropower Company Limited,9208
MLBS,32,1569.0,Manushi Laghubitta Bittiya Sanstha Limited,8018
JOSHI,31,295.6,Joshi Hydropower Development Company Ltd,2789
PHCL,30,314.0,Peoples Hydropower Company Limited,8133
SPHL,30,688.9,Sayapatri Hydropower Limited,8121
