securityId,totalTrades,lastTradedPrice,securityName,symbol
697,30,304.0,Api Power Company Ltd.,API
194,23,1241.0,Nepal Finance Ltd.,NFS
2880,21,195.0,Himal Dolakha Hydropower Company Limited,HDHPC
3946,21,1671.0,CEDB Hydropower Development Company Limited,CHDC
274,19,625.0,Excel Development Bank Ltd.,EDBL
8111,16,158.0,Hydorelectricity Investment and Development Company Limited Promoter,HIDCLP
9192,16,815.0,Upper Syange Hydropower Limited,USHL
9234,15,765.2,Himalayan Reinsurance Limited,HRL
360,14,255.0,Arun Valley Hydropower Development Co. Ltd.,AHPC
131,13,555.0,Nabil Bank Limited,NABIL
9140,13,2403.0,Unique Nepal Laghubitta Bittiya Sanstha Limited,UNLB
2792,13,205.1,Upper Tamakoshi Hydropower Ltd,UPPER
9181,12,730.1,Rawa Energy Development Limited,RAWA
142,11,206.0,Kumari Bank Limited,KBL
255,11,225.2,Prabhu  Bank Limited,PRVU
8055,10,454.4,Balephi Hydropower Limited,BHL
338,9,500.0,Progressive Finance Limited,PROFL
471,9,575.0,Multipurpose Finance Company  Limited,MPFL
695,7,1465.0,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,JSLBB
2757,7,221.0,Arun Kabeli Power Ltd.,AKPL
232,7,761.0,Goodwill Finance Limited,GFCL
132,7,220.3,Nepal Investment Mega Bank Limited,NIMB
2934,7,233.0,Singati Hydro Energy Limited,SHEL
5982,6,560.0,Sanima Reliance Life Insurance Limited,SRLI
2806,6,203.0,Ghalemdi Hydro Limited,GHL
2919,6,258.6,Nepal Infrastructure Bank Limited,NIFRA
9184,6,460.0,IME Life Insurance Company Limited,ILI
9203,6,359.7,Manakamana Engineering Hydropower Limited,MEHL
137,6,609.0,Everest Bank Limited,EBL
154,6,538.1,Chilime Hydropower Company Limited,CHCL
263,6,483.2,Guheshowori Merchant Bank & Finance Co. Ltd.,GMFIL
472,6,414.0,Shangrila Development Bank Ltd.,SADBL
545,5,988.4,Swarojgar Laghubitta Bittiya Sanstha Ltd.,SLBBL
694,5,1485.0,Matribhumi Lagubitta Bittiya Sanstha Limited,MATRI
587,5,503.0,Reliance Finance Ltd.,RLFL
341,5,232.3,Global IME Bank Limited,GBIME
235,5,1240.0,Himalayan Distillery Limited,HDL
204,5,653.0,Gurkhas Finance Ltd.,GUFL
139,5,434.0,NIC Asia Bank Ltd.,NICA
9209,5,595.0,Citizen Life Insurance Company Limited,CLI
9216,5,434.0,Sonapur Minerals And Oil Limited,SONA
9161,5,4804.1,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,ANLB
8021,5,515.0,Sahas Urja Limited,SAHAS
4951,5,1421.1,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd,JBLB
8076,5,473.2,Himalayan Hydropower Limited,HHL
8065,4,1488.1,CYC Nepal Laghubitta Bittiya Sanstha Limited,CYCL
2743,4,425.0,Ngadi Group Power Ltd.,NGPL
9148,4,1142.0,Super Mai Hydropower Limited,SMH
9208,4,390.0,Upper Lohore Khola Hydropower Company Limited,ULHC
686,4,325.0,Barun Hydropower Co. Ltd.,BARUN
473,4,438.9,Shine Resunga Development Bank Ltd.,SHINE
371,4,582.8,Miteri Development Bank Limited,MDB
307,3,900.0,Nepal Doorsanchar Company Limited,NTC
396,3,750.0,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,NMLBBL
591,3,492.0,Sanima Mai Hydropower Ltd.,SHPC
153,3,392.1,Butwal Power Company Limited,BPCL
9212,3,895.0,Mandu Hydropower Limited,MANDU
9225,3,620.0,Vision Lumbini Urja Company Limited ,VLUCL
8133,3,314.0,Peoples Hydropower Company Limited,PHCL
9158,3,364.0,Molung Hydropower Company Limited,MHCL
9179,3,279.0,Modi Energy Limited,MEL
9183,3,412.0,Nepal Republic Media Limited,NRM
9170,3,480.0,Dolti Power Company Limited,DOLTI
2809,3,535.0,SHIVAM CEMENTS LTD,SHIVM
2924,3,229.5,GreenLife Hydropower Limited,GLH
2789,3,295.6,Joshi Hydropower Development Company Ltd,JOSHI
2907,3,205.0,Shiva Shree Hydropower Ltd,SSHL
8018,3,1569.0,Manushi Laghubitta Bittiya Sanstha Limited,MLBS
8131,2,710.0,Eastern Hydropower Limited,EHPL
8121,2,688.9,Sayapatri Hydropower Limited,SPHL
2903,2,255.0,Liberty Energy Company Limited,LEC
2842,2,307.8,SANJEN JALAVIDHYUT COMPANY LIMITED,SJCL
2810,2,241.0,UNIVERSAL POWER COMPANY LTD,UPCL
2742,2,253.0,Hydorelectricity Investment and Development Company Ltd,HIDCL
2748,2,664.8,RSDC Laghubitta Bittiya Sanstha Ltd.,RSDC
9166,2,479.7,Makar Jitumaya Suri Hydropower Limited,MAKAR
348,2,228.0,Citizens Bank International Limited,CZBIL
357,2,265.0,Prime Commercial Bank Ltd.,PCBL
238,2,246.0,NMB Bank Limited,NMB
152,2,207.0,National Hydro Power Company Limited,NHPC
171,2,320.0,Sanima Bank Limited,SANIMA
450,2,834.7,Corporate Development Bank Limited,CORBL
397,2,351.0,Agricultural Development Bank Limited,ADBL
417,2,420.0,Garima Bikas Bank Limited,GBBL
393,2,448.1,Himalayan Life Insurance Limited,HLI
516,2,614.9,Manjushree Finance Ltd.,MFIL
561,2,548.8,Sindhu Bikash Bank Ltd,SINDU
574,1,890.0,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,SKBBL
559,1,1281.1,NLG Insurance Company Ltd.,NLG
418,1,331.3,Jyoti Bikas Bank Limited,JBBL
401,1,382.5,Mahalaxmi Bikas Bank Ltd.,MLBL
706,1,770.0,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,SWMF
2759,1,267.3,Synergy Power Development Ltd.,SPDL
2773,1,10.44,Sanima Equity Fund,SAEF
2776,1,366.1,Radhi Bidyut Company Ltd,RADHI
2779,1,9.95,NIC Asia Growth Fund,NICGF
2781,1,2448.0,Wean Nepal Laghubitta Bittiya Sanstha Limited,WNLB
2784,1,1029.0,Nadep Laghubittiya bittya Sanstha Ltd.,NADEP
2787,1,454.0,Kalika power Company Ltd,KPCL
2788,1,194.0,Ankhu Khola Jalvidhyut Company Ltd,AKJCL
172,1,547.0,Narayani Development Bank Limited,NABBC
176,1,965.0,Nepal Insurance Co. Ltd.,NICL
180,1,610.0,United Ajod Insurance Limited,UAIL
182,1,830.0,Siddhartha Premier Insurance Limited,SPIL
186,1,575.0,IGI Prudential insurance Limited,IGI
187,1,738.0,Nepal Life Insurance Co. Ltd.,NLIC
