symbol,turnover,closingPrice,securityName,securityId
USHL,8535606.0,815.0,Upper Syange Hydropower Limited,9192
EDBL,5296784.3,625.0,Excel Development Bank Ltd.,274
HIDCLP,2467415.7,158.0,Hydorelectricity Investment and Development Company Limited Promoter,8111
API,2153107.9,304.0,Api Power Company Ltd.,697
RAWA,1734071.0,730.1,Rawa Energy Development Limited,9181
AHPC,1597449.0,255.0,Arun Valley Hydropower Development Co. Ltd.,360
TAMOR,1317600.0,439.2,Sanima Middle Tamor Hydropower Limited,9156
HDHPC,1208440.0,195.0,Himal Dolakha Hydropower Company Limited,2880
CHDC,1196801.0,1671.0,CEDB Hydropower Development Company Limited,3946
PROFL,1103622.0,500.0,Progressive Finance Limited,338
NFS,1092311.0,1241.0,Nepal Finance Ltd.,194
AKPL,879570.0,221.0,Arun Kabeli Power Ltd.,2757
RLFL,603820.0,503.0,Reliance Finance Ltd.,587
NABIL,602537.5,555.0,Nabil Bank Limited,131
CHCL,572084.0,538.1,Chilime Hydropower Company Limited,154
MPFL,563564.0,575.0,Multipurpose Finance Company  Limited,471
ILI,480550.1,460.0,IME Life Insurance Company Limited,9184
UNLB,458683.5,2403.0,Unique Nepal Laghubitta Bittiya Sanstha Limited,9140
SHEL,430100.0,233.0,Singati Hydro Energy Limited,2934
UPPER,369095.0,205.1,Upper Tamakoshi Hydropower Ltd,2792
ADBL,351000.0,351.0,Agricultural Development Bank Limited,397
SRLI,344165.0,560.0,Sanima Reliance Life Insurance Limited,5982
MATRI,343308.0,1485.0,Matribhumi Lagubitta Bittiya Sanstha Limited,694
MANDU,327475.0,895.0,Mandu Hydropower Limited,9212
GMFIL,311746.0,483.2,Guheshowori Merchant Bank & Finance Co. Ltd.,263
SLBBL,302590.0,988.4,Swarojgar Laghubitta Bittiya Sanstha Ltd.,545
GUFL,291330.0,653.0,Gurkhas Finance Ltd.,204
SADBL,284170.0,414.0,Shangrila Development Bank Ltd.,472
HRL,275639.5,765.2,Himalayan Reinsurance Limited,9234
SHPC,273994.0,492.0,Sanima Mai Hydropower Ltd.,591
SSHL,266400.0,205.0,Shiva Shree Hydropower Ltd,2907
NICA,266134.0,434.0,NIC Asia Bank Ltd.,139
PCBL,265200.0,265.0,Prime Commercial Bank Ltd.,357
PRVU,254710.2,225.2,Prabhu  Bank Limited,255
HIDCL,253000.0,253.0,Hydorelectricity Investment and Development Company Ltd,2742
ANLB,248453.0,4804.1,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,9161
DOLTI,244896.0,480.0,Dolti Power Company Limited,9170
SHINE,234891.0,438.9,Shine Resunga Development Bank Ltd.,473
EBL,219350.0,609.0,Everest Bank Limited,137
GFCL,212805.0,761.0,Goodwill Finance Limited,232
GHL,194280.0,203.0,Ghalemdi Hydro Limited,2806
HHL,179805.0,473.2,Himalayan Hydropower Limited,8076
JBLB,170899.0,1421.1,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd,4951
CORBL,168640.0,834.7,Corporate Development Bank Limited,450
MFIL,141429.0,614.9,Manjushree Finance Ltd.,516
BNT,139990.0,13999.0,Bottlers Nepal (Terai) Limited,213
NICL,135100.0,965.0,Nepal Insurance Co. Ltd.,176
BARUN,133250.0,325.0,Barun Hydropower Co. Ltd.,686
SAHAS,130860.0,515.0,Sahas Urja Limited,8021
NGPL,120609.0,425.0,Ngadi Group Power Ltd.,2743
UPCL,120596.0,241.0,UNIVERSAL POWER COMPANY LTD,2810
HDL,112840.0,1240.0,Himalayan Distillery Limited,235
GLH,107856.0,229.5,GreenLife Hydropower Limited,2924
NIMB,106701.5,220.3,Nepal Investment Mega Bank Limited,132
JSLBB,105280.0,1465.0,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,695
KBL,102900.0,206.0,Kumari Bank Limited,142
CLI,102340.0,595.0,Citizen Life Insurance Company Limited,9209
NIFRA,99712.7,258.6,Nepal Infrastructure Bank Limited,2919
SHIVM,83230.0,535.0,SHIVAM CEMENTS LTD,2809
RURU,79760.0,797.6,Ru Ru Jalbidhyut Pariyojana Limited,2935
NHPC,75990.0,207.0,National Hydro Power Company Limited,152
CYCL,75605.0,1488.1,CYC Nepal Laghubitta Bittiya Sanstha Limited,8065
GBIME,73469.5,232.3,Global IME Bank Limited,341
JBBL,66260.0,331.3,Jyoti Bikas Bank Limited,418
SONA,65092.0,434.0,Sonapur Minerals And Oil Limited,9216
NTC,63020.0,900.0,Nepal Doorsanchar Company Limited,307
NMLBBL,60000.0,750.0,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,396
IGI,57500.0,575.0,IGI Prudential insurance Limited,186
MEHL,53195.0,359.7,Manakamana Engineering Hydropower Limited,9203
MLBS,50186.0,1569.0,Manushi Laghubitta Bittiya Sanstha Limited,8018
BHL,45730.0,454.4,Balephi Hydropower Limited,8055
SMH,44840.0,1142.0,Super Mai Hydropower Limited,9148
GBBL,42000.0,420.0,Garima Bikas Bank Limited,417
NLIC,36900.0,738.0,Nepal Life Insurance Co. Ltd.,187
MAKAR,28879.0,479.7,Makar Jitumaya Suri Hydropower Limited,9166
BFC,24700.0,494.0,Best Finance Company Ltd.,227
WNLB,24480.0,2448.0,Wean Nepal Laghubitta Bittiya Sanstha Limited,2781
MDB,23908.0,582.8,Miteri Development Bank Limited,371
LSL,23600.0,236.0,Laxmi Sunrise Bank Limited,141
CZBIL,22800.0,228.0,Citizens Bank International Limited,348
SWMF,22330.0,770.0,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,706
SPHL,20692.0,688.9,Sayapatri Hydropower Limited,8121
LEC,20000.0,255.0,Liberty Energy Company Limited,2903
BPCL,19823.0,392.1,Butwal Power Company Limited,153
MEL,19470.0,279.0,Modi Energy Limited,9179
VLUCL,18724.0,620.0,Vision Lumbini Urja Company Limited ,9225
RSDC,16755.0,664.8,RSDC Laghubitta Bittiya Sanstha Ltd.,2748
ULHC,15312.0,390.0,Upper Lohore Khola Hydropower Company Limited,9208
SICL,14220.0,790.0,Shikhar Insurance Co. Ltd.,192
EHPL,14200.0,710.0,Eastern Hydropower Limited,8131
SPIL,13280.0,830.0,Siddhartha Premier Insurance Limited,182
MHNL,13000.0,260.0,Mountain Hydro Nepal Limited,2811
NLG,12811.0,1281.1,NLG Insurance Company Ltd.,559
NRM,12200.0,412.0,Nepal Republic Media Limited,9183
UAIL,11590.0,610.0,United Ajod Insurance Limited,180
SINDU,11087.0,548.8,Sindhu Bikash Bank Ltd,561
MHCL,10853.0,364.0,Molung Hydropower Company Limited,9158
SKBBL,10680.0,890.0,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,574
NADEP,10290.0,1029.0,Nadep Laghubittiya bittya Sanstha Ltd.,2784
NMB,9756.0,246.0,NMB Bank Limited,238
PHCL,9480.0,314.0,Peoples Hydropower Company Limited,8133
SJCL,9296.0,307.8,SANJEN JALAVIDHYUT COMPANY LIMITED,2842
NWCL,9169.0,916.9,Nepal Warehousing Company Limited ,9233
JOSHI,8982.3,295.6,Joshi Hydropower Development Company Ltd,2789
HLI,8961.0,448.1,Himalayan Life Insurance Limited,393
SPL,8085.0,808.5,Shuvam Power Limited,9147
SANIMA,6401.0,320.0,Sanima Bank Limited,171
KPCL,6356.0,454.0,Kalika power Company Ltd,2787
GRDBL,6354.0,635.4,Green Development Bank Ltd.,2744
NABBC,5470.0,547.0,Narayani Development Bank Limited,172
RFPL,5350.0,535.0,River Falls Power Limited,8066
SFCL,5182.0,518.2,Samriddhi Finance Company Limited,256
IHL,4960.0,496.0,Ingwa Hydropower Limited,9176
SAPDBL,4834.0,483.4,Saptakoshi Development Bank Ltd,2860
MCHL,4730.0,473.0,Menchhiyam Hydropower Limited,9175
LBBL,4569.0,456.9,Lumbini Bikas Bank Ltd.,358
