securityId,symbol,securityName,closingPriceAverage,totalTradedAmount,totalTradedShares,totalTrades,weightedAverage,closePrice,closingDate
2790,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,1132.38,1290543421.1,1116481,18413,1155.9,982.0,2024-09-24
397,ADBL,Agricultural Development Bank Limited,326.79,4253665737.0,11748982,51798,362.05,351.2,2024-09-24
2886,ADBLD83,10.35% Agricultural Bank Debenture 2083,1090.4,14510765.6,13325,154,1088.99,1091.0,2024-09-24
9150,AHL,Asian Hydropower Limited,610.21,1192882973.3,1871667,20500,637.34,627.0,2024-09-24
360,AHPC,Arun Valley Hydropower Development Co. Ltd.,220.02,11162803403.5,43248742,123717,258.11,252.2,2024-09-24
2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,213.82,2416762657.3,10955017,51590,220.61,194.9,2024-09-24
2757,AKPL,Arun Kabeli Power Ltd.,212.62,6864889927.5,27511222,96225,249.53,219.1,2024-09-24
2807,ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,1042.52,1287226150.1,1223066,19755,1052.46,1000.0,2024-09-24
2808,ALBSLP,Asha Laghubitta Bittiya Sanstha Ltd Promoter Share,542.0,92674954.0,170987,11,542.0,542.0,2024-09-24
385,ALICL,Asian Life Insurance Co. Limited,664.88,4130739202.7,5808248,28577,711.19,665.0,2024-09-24
9161,ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,3174.39,966048008.1,303470,8893,3183.34,5000.2,2024-09-24
697,API,Api Power Company Ltd.,243.38,14115686516.9,48046122,160211,293.79,301.0,2024-09-24
8117,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,980.02,1116364719.8,1120331,17951,996.46,879.0,2024-09-24
686,BARUN,Barun Hydropower Co. Ltd.,327.99,3392058285.3,9889470,36360,343.0,320.9,2024-09-24
156,BBC,Bishal Bazar Company Limited,4292.98,317567385.4,71693,3460,4429.55,4111.0,2024-09-24
9171,BEDC,Bhugol Energy Development Company Limited,453.78,1016110184.7,2227545,25921,456.16,462.0,2024-09-24
227,BFC,Best Finance Company Ltd.,540.45,3754777918.6,6555478,46570,572.77,485.2,2024-09-24
9214,BGWT,Bhagawati Hydropower Development Company Limited,975.21,1668778729.5,1741884,26006,958.03,930.0,2024-09-24
8075,BHDC,Bindhyabasini Hydropower Development Company Limited,617.05,1367133109.5,2162445,20657,632.22,540.1,2024-09-24
8055,BHL,Balephi Hydropower Limited,401.57,1175811069.0,2784049,25141,422.34,439.0,2024-09-24
9135,BHPL,Barahi Hydropower Public Limited,672.21,719633566.0,1070297,14544,672.37,698.0,2024-09-24
8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,618.33,947313512.14,1486544,15393,637.26,460.0,2024-09-24
195,BNL,Bottlers Nepal (Balaju) Limited,17130.05,102071389.4,5690,466,17938.73,15800.1,2024-09-24
213,BNT,Bottlers Nepal (Terai) Limited,14277.86,773731307.4,50547,3309,15307.17,13725.0,2024-09-24
4961,BOKD86,8.5% BOK Debenture 2086,996.08,12808574.0,12718,206,1007.12,1042.0,2024-09-24
9136,BOKD86KA,"BOK Debenture 2086 ""KA""",1063.13,1095475.0,1035,37,1058.43,1124.0,2024-09-24
153,BPCL,Butwal Power Company Limited,370.95,2589306970.5,5964301,35112,434.13,390.5,2024-09-24
9191,C30MF,Citizens Super 30 Mutual Fund,9.53,94630323.8,9449060,1016,10.01,10.0,2024-09-24
164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,943.77,2908637526.2,2891520,32775,1005.92,911.0,2024-09-24
8043,CBLD88,Civil Bank Debenture 2088,1064.5,10235201.5,9518,229,1075.35,1095.1,2024-09-24
8068,CCBD88,Century Debenture 2088,1093.53,8992387.0,8174,136,1100.12,1108.0,2024-09-24
245,CFCL,Central Finance Co. Ltd.,563.91,5089730449.2,8435013,56266,603.41,499.1,2024-09-24
2917,CGH,Chandragiri Hills Limited,991.93,4109408686.3,3891746,40790,1055.93,865.0,2024-09-24
154,CHCL,Chilime Hydropower Company Limited,525.24,6415126035.7,10822605,43090,592.75,538.0,2024-09-24
3946,CHDC,CEDB Hydropower Development Company Limited,1442.21,15091591955.5,10225042,83068,1475.94,1684.0,2024-09-24
2766,CHL,Chhyangdi Hydropower Ltd.,350.61,1186763988.6,3221495,18781,368.39,323.0,2024-09-24
210,CIT,Citizen Investment Trust,2203.72,5853500199.0,2529315,41390,2314.26,2112.0,2024-09-24
9173,CITY,City Hotel Limited,811.35,3143840092.7,3724192,39571,844.17,746.0,2024-09-24
2889,CIZBD86,10.25% Citizens Bank Debenture 2086,1051.45,990225.0,950,24,1042.34,1070.0,2024-09-24
