SN,Name,Description,Published Date,File Link
1,2018.12.28,Weekly Report of 2018.12.28,2023-08-21,https://www.nepalstock.com/api/web/report/download-report/cdb5683eec4c3355a8e0bea596214b95.xlsx
2,2018.12.21,Weekly Report of 2018.12.21,2023-08-21,https://www.nepalstock.com/api/web/report/download-report/6ebb10c10522702da092b99e5153b55e.xlsx
3,2018.11.2,Weekly Report of 2018.11.2,2023-08-21,https://www.nepalstock.com/api/web/report/download-report/7ee5356c6b9ea0950c35df2b3274a643.xlsx
4,2018.10.26,Weekly Report of 2018.10.26,2023-08-21,https://www.nepalstock.com/api/web/report/download-report/eac22f82883668944b5adadf94df644e.xlsx
5,2018.10.12,Weekly Report of 2018.10.12,2023-08-21,https://www.nepalstock.com/api/web/report/download-report/371abf856c71b18c183af4f0e0aa4651.xlsx
6,2018.10.5,Weekly Report of 2018.10.5,2023-08-21,https://www.nepalstock.com/api/web/report/download-report/3ae71c07ae08de3cd04d0479f00f30b9.xlsx
7,2018.9.28,Weekly Report of 2018.9.28,2023-08-21,https://www.nepalstock.com/api/web/report/download-report/b209da310e3b8d0dc54043199adee33b.pdf
8,2018.9.21,Weekly Report of 2018.9.21,2023-08-21,https://www.nepalstock.com/api/web/report/download-report/d5afcad7a88db399134fc8ef5af002ed.pdf
9,2018.9.14,Weekly Report of 2018.9.14,2023-08-21,https://www.nepalstock.com/api/web/report/download-report/e9f2907d418d6f216a2d9bb70d0f4c7a.pdf
10,2018.9.7,Weekly Report of 2018.9.7,2023-08-21,https://www.nepalstock.com/api/web/report/download-report/c4eb939355107ee739844b26f25467a6.pdf
11,2018.8.31,Weekly Report of 2018.8.31,2023-08-21,https://www.nepalstock.com/api/web/report/download-report/64e7449ec7897ea012ae7d6f11bfdb92.pdf
12,2018.8.24,Weekly Report of 2018.8.24,2023-08-21,https://www.nepalstock.com/api/web/report/download-report/bbed70771286f49f7f966c878fe0fd9c.pdf
13,2018.8.17,Weekly Report of 2018.8.17,2023-08-21,https://www.nepalstock.com/api/web/report/download-report/6aab10abaa170e790da77807c7b4c42a.pdf
14,2018.8.10,Weekly Report of 2018.8.10,2023-08-21,https://www.nepalstock.com/api/web/report/download-report/61fafc9f5808728e1c11b4c9c1046c51.pdf
15,2018.8.3,Weekly Report of 2018.8.3,2023-08-21,https://www.nepalstock.com/api/web/report/download-report/1be92e2cf7bc5625a53dc33c6091871e.pdf
16,2018.7.27,Weekly Report of 2018.7.27,2023-08-21,https://www.nepalstock.com/api/web/report/download-report/71333d146fe66574f9884b89615498a1.pdf
17,2018.7.20,Weekly Report of 2018.7.20,2023-08-21,https://www.nepalstock.com/api/web/report/download-report/caac177e1196e7f3a911c1921d862bac.pdf
18,2018.7.13,Weekly Report of 2018.7.13,2023-08-21,https://www.nepalstock.com/api/web/report/download-report/0bd0c938d8ead238a0387a446c25fcd6.pdf
19,2018.7.6,Weekly Report of 2018.7.6,2023-08-21,https://www.nepalstock.com/api/web/report/download-report/6d6eef9cf882fbf9939a5a76e55317e0.pdf
20,2018.6.29,Weekly Report of 2018.6.29,2023-08-21,https://www.nepalstock.com/api/web/report/download-report/711cd5387a6e3874145c216e72fea587.pdf
21,2018.6.22,Weekly Report of 2018.6.22,2023-08-21,https://www.nepalstock.com/api/web/report/download-report/176064a21f7b12fa0e2af05fe5e57db6.pdf
22,2018.6.15,Weekly Report of 2018.6.15,2023-08-21,https://www.nepalstock.com/api/web/report/download-report/1e487e56152e6d0469c3d3ab7cad0e6b.pdf
23,2018.6.8,Weekly Report of 2018.6.8,2023-08-21,https://www.nepalstock.com/api/web/report/download-report/4c92ae0af4c93de99888531b2a8ed070.pdf
24,2018.6.1,Weekly Report of 2018.6.1,2023-08-21,https://www.nepalstock.com/api/web/report/download-report/c54d18c59d120af9e64d9e149e2e05d6.pdf
25,2018.5.25,Weekly Report of 2018.5.25,2023-08-21,https://www.nepalstock.com/api/web/report/download-report/7441500c4cf5fbfaa3587c3a57cf2b52.pdf
26,2018.5.18,Weekly Report of 2018.5.18,2023-08-21,https://www.nepalstock.com/api/web/report/download-report/610b9cd5a0e8c71b4a6cb12ecd6fe301.pdf
